Timestamp (UTC), Latitude, Longitude, Display Radius (Meters), Source, Device Tag, Platform, WiFi Results
2019-06-27T13:51:31.000Z,39.2632465,-107.0982669,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:33.000Z,39.2632489,-107.0982647,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:34.000Z,39.2632498,-107.098262,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:36.000Z,39.2632566,-107.098257,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:37.000Z,39.2632547,-107.0982601,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:39.000Z,39.2632568,-107.098255,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:40.000Z,39.2632634,-107.0982593,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:42.000Z,39.2632741,-107.0982697,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:43.000Z,39.2632797,-107.098278,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:44.000Z,39.2632869,-107.0982779,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:46.000Z,39.2632988,-107.0982804,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:47.000Z,39.2633073,-107.0982791,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:49.000Z,39.2633199,-107.0982847,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:51.000Z,39.2633306,-107.098285,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:53.000Z,39.2633376,-107.0982816,3.001,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:51:54.000Z,39.2633427,-107.0982782,3.122,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:06.000Z,39.2650387,-107.0979512,5.36,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:08.000Z,39.2650718,-107.0980064,3.266,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:09.000Z,39.2650867,-107.0980182,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:11.000Z,39.2651069,-107.0980447,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:13.000Z,39.265129,-107.0980709,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:14.000Z,39.2651397,-107.0980768,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:15.000Z,39.265145,-107.0980867,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:17.000Z,39.2651551,-107.0980929,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
2019-06-27T13:56:18.000Z,39.2651617,-107.0980917,3.0,fused,02:00:00:00:00:00,android/Google/Pixel 2,
